== (10,2,0) e=2 X4h=1 : every candidate with its rejection witness ==
a2 a3 c1 c2 bq1 n45 n4 | test | witness
 0  0  2  0  0  24 20 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24 21 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24 22 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24 23 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  2  0  0  24 24 | C6A_n45       | n45=24 > 4*Rmax=8
 0  0  0  1  0   0  0 | length_budget | rem=117 not in [24,72]
 0  0  0  1  0   1  0 | length_budget | rem=112 not in [23,69]
 0  0  0  1  0   1  1 | length_budget | rem=113 not in [23,69]
 0  0  0  1  0   2  0 | length_budget | rem=107 not in [22,66]
 0  0  0  1  0   2  1 | length_budget | rem=108 not in [22,66]
 0  0  0  1  0   2  2 | length_budget | rem=109 not in [22,66]
 0  0  0  1  0   3  0 | length_budget | rem=102 not in [21,63]
 0  0  0  1  0   3  1 | length_budget | rem=103 not in [21,63]
 0  0  0  1  0   3  2 | length_budget | rem=104 not in [21,63]
 0  0  0  1  0   3  3 | length_budget | rem=105 not in [21,63]
 0  0  0  1  0   4  0 | length_budget | rem=97 not in [20,60]
 0  0  0  1  0   4  1 | length_budget | rem=98 not in [20,60]
 0  0  0  1  0   4  2 | length_budget | rem=99 not in [20,60]
 0  0  0  1  0   4  3 | length_budget | rem=100 not in [20,60]
 0  0  0  1  0   4  4 | length_budget | rem=101 not in [20,60]
 0  0  0  1  0   5  0 | length_budget | rem=92 not in [19,57]
 0  0  0  1  0   5  1 | length_budget | rem=93 not in [19,57]
 0  0  0  1  0   5  2 | length_budget | rem=94 not in [19,57]
 0  0  0  1  0   5  3 | length_budget | rem=95 not in [19,57]
 0  0  0  1  0   5  4 | length_budget | rem=96 not in [19,57]
 0  0  0  1  0   5  5 | length_budget | rem=97 not in [19,57]
 0  0  0  1  0   6  0 | length_budget | rem=87 not in [18,54]
 0  0  0  1  0   6  1 | length_budget | rem=88 not in [18,54]
 0  0  0  1  0   6  2 | length_budget | rem=89 not in [18,54]
 0  0  0  1  0   6  3 | length_budget | rem=90 not in [18,54]
 0  0  0  1  0   6  4 | length_budget | rem=91 not in [18,54]
 0  0  0  1  0   6  5 | length_budget | rem=92 not in [18,54]
 0  0  0  1  0   6  6 | length_budget | rem=93 not in [18,54]
 0  0  0  1  0   7  0 | length_budget | rem=82 not in [17,51]
 0  0  0  1  0   7  1 | length_budget | rem=83 not in [17,51]
 0  0  0  1  0   7  2 | length_budget | rem=84 not in [17,51]
 0  0  0  1  0   7  3 | length_budget | rem=85 not in [17,51]
 0  0  0  1  0   7  4 | length_budget | rem=86 not in [17,51]
 0  0  0  1  0   7  5 | length_budget | rem=87 not in [17,51]
 0  0  0  1  0   7  6 | length_budget | rem=88 not in [17,51]
 0  0  0  1  0   7  7 | length_budget | rem=89 not in [17,51]
 0  0  0  1  0   8  0 | length_budget | rem=77 not in [16,48]
 0  0  0  1  0   8  1 | length_budget | rem=78 not in [16,48]
 0  0  0  1  0   8  2 | length_budget | rem=79 not in [16,48]
 0  0  0  1  0   8  3 | length_budget | rem=80 not in [16,48]
 0  0  0  1  0   8  4 | length_budget | rem=81 not in [16,48]
