==============================================================================
LEMMA 6.7 -- cycle-shape exclusion: no type-II cycle in any of the sixteen classes
==============================================================================

[A] TIER 1: the closed-form kill  (all censuses with c2 >= 1, b_q1 = 0)
    cell            a2 a3 c1 c2 | a1 lam | N_lo N_hi | verdict
    (20,0,0) e=6 X4h=0  0  2  0  1  -  |   26   18 |  (closed form)          | DEAD
    (20,0,0) e=6 X4h=0  0  3  0  0  -  |   27   18 |  (closed form)          | DEAD
    (20,0,0) e=6 X4h=0  1  1  3  0  -  |   21   18 |  (closed form)          | DEAD
    (20,0,0) e=6 X4h=0  1  1  1  1  -  |   23   18 |  (closed form)          | DEAD
    (20,0,0) e=6 X4h=0  1  2  1  0  -  |   25   18 |  (closed form)          | DEAD
    (20,0,0) e=6 X4h=0  2  1  2  0  -  |   22   18 |  (closed form)          | DEAD
    (20,0,0) e=6 X4h=0  2  1  0  1  -  |   25   18 |  (closed form)          | DEAD
    (20,0,0) e=6 X4h=0  2  2  0  0  -  |   26   18 |  (closed form)          | DEAD
    (20,0,0) e=6 X4h=0  3  1  1  0  -  |   24   18 |  (closed form)          | DEAD
    (20,0,0) e=6 X4h=0  4  1  0  0  -  |   25   18 |  (closed form)          | DEAD
    (20,0,0) e=7 X4h=0  0  1  5  0  -  |   19   17 |  (closed form)          | DEAD
    (20,0,0) e=7 X4h=0  0  1  3  1  -  |   21   17 |  (closed form)          | DEAD
    (20,0,0) e=7 X4h=0  0  1  1  2  -  |   24   17 |  (closed form)          | DEAD
